time,CDK1,PLK1,APC,inact_CDK1,inact_PLK1,inact_APC,a1,a2,a3,b1,b2,b3,K1,K2,K3,n1,n2,n3,default
0,0,0,0,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
1,0.09999999999999999,7.752992452419438e-07,1.621200556530411e-48,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
2,0.2,0.0003629198283732057,6.481718824598117e-27,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
3,0.3000000000000001,0.01263492188693748,2.06393052297612e-14,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
4,0.4000000000000002,0.1323922266890848,4.50248038908033e-06,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
5,0.4999966212123518,0.4661189799989433,0.156053354127675,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
6,0.1927504926521614,0.3434766401272475,0.4720663102560444,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
7,0.2550692128216207,0.1290136667815883,0.1781323866677884,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
8,0.3550431800737432,0.09551867991625881,0.06553541433026198,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
9,0.4550431680360297,0.3138966944457346,0.030810381151433,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
10,0.36616624484217,0.5163608498941986,0.5540273655381855,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
11,0.2175404001719517,0.1940338319247402,0.2711901155939427,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
12,0.3168962598052315,0.08948696676331844,0.09983052426046468,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
13,0.4168959479098151,0.1969455429568571,0.03687159359123326,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
14,0.5150194394435532,0.5215772379159567,0.3221077143276156,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
15,0.1895851676706653,0.2830317489005586,0.3939174600848991,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
16,0.2790628685156366,0.1099744316003712,0.1460053807328932,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
17,0.3790570895876504,0.1218424635518104,0.05371767705368428,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
18,0.4790570818588807,0.3985626002355696,0.06841895279223124,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
19,0.2404030478354269,0.4124751840897449,0.5356462537219646,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
20,0.2413368547242019,0.1535361443643403,0.213117068682268,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
21,0.3412332104379948,0.09079999746029387,0.07841362495131203,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
22,0.441233161887258,0.2682258618869289,0.03065304552244907,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
23,0.4571156184003167,0.5552941829691119,0.5025165982624824,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
24,0.2052061726891193,0.2221620174853065,0.3106466132717501,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
25,0.3034104857535092,0.09406574005610467,0.1144596408161755,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
26,0.4034095925429257,0.1648754294434354,0.042144117789001,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
27,0.5033677274252232,0.4807955123167048,0.2078347334040052,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
28,0.191544239747999,0.3237503846117652,0.4461899864402238,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
29,0.2656015587015617,0.12287534971736,0.1670721813444514,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
30,0.3655853557872376,0.1061402591673312,0.06146659528724661,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
31,0.4655853482524584,0.35109528515178,0.03978194209764799,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
32,0.3013739281902995,0.4701406898631607,0.5608898687924634,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
33,0.2280491972398729,0.1748162632235679,0.2438055908391761,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
34,0.3277612738089964,0.08859478219952176,0.08972143945466228,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
35,0.4277611366576064,0.2268749064736151,0.03346252136030686,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
36,0.5111656447597311,0.5480759278424392,0.4124237185862245,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
37,0.1947836468038536,0.2539848531855874,0.3546765786917248,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
38,0.2899401558639665,0.1016713257638778,0.1309658220533678,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
39,0.389937643573617,0.1386814431175078,0.04819041113121009,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
40,0.4899373177877928,0.4362471214009376,0.115748796824951,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
41,0.2095956680784754,0.3702608467996969,0.4988281502560998,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
42,0.2521597145349626,0.1386405600704497,0.1911583551891207,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
43,0.3521144289527797,0.0957178811069983,0.07032976655389579,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
44,0.4521144079660957,0.3043297874881442,0.03105519582669466,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
45,0.3852454784732819,0.5272697607323397,0.5471386875051318,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
46,0.21508640674797,0.1994960882620453,0.2788383349560228,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
47,0.3142909476858675,0.0902277016502623,0.1026591203014877,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
48,0.4142905607579353,0.1903376123995696,0.03787767812175087,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
49,0.5133013987637789,0.5141260158869908,0.2995655619690251,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
50,0.1890744362478465,0.2904638274372169,0.403740632692777,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
51,0.2764732606317631,0.1122413192003594,0.1498497240240567,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
52,0.3764662093410936,0.1183929296007743,0.05513139230094318,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
53,0.4764662040594562,0.3894608291661006,0.06067053941665328,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
54,0.2501372051545871,0.4231476067225887,0.5427380414394321,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
55,0.2387685074401652,0.1573785688853,0.2187051822943947,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
56,0.3386423187847677,0.09005561835988039,0.08047159945583,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
57,0.4386422594982518,0.2599503349139723,0.0309969179546213,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
58,0.4719080255833035,0.5573872904262448,0.4878332840019932,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
59,0.2029970061384767,0.2279461953643487,0.3187093717093917,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
60,0.30082007521689,0.09528994014529661,0.1174637596631964,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
61,0.4008189853108813,0.1593761335761501,0.04324104419249182,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
62,0.5008013294520414,0.4724679601398089,0.1876749797236482,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
63,0.19353222118474,0.3322211389765334,0.4564668760254295,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
64,0.2630153304543035,0.1256820893059496,0.1714556283826092,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
65,0.3629955829057323,0.1037420111065375,0.06307935749043379,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
66,0.4629955737741361,0.3419968357359421,0.03699235274511146,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
67,0.3159604199990523,0.4816209117625215,0.5617167122818422,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
68,0.2255218241766675,0.1792867714979757,0.250187297287612,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
69,0.3251716032499079,0.0886247096805321,0.09207525665176515,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
70,0.4251714358158239,0.2194472905247609,0.03422052625353191,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
71,0.5145433581757396,0.5427341764728808,0.3918616630592235,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
72,0.1931924370850077,0.2606184538432995,0.3637352760830669,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
73,0.2873502058365296,0.103477610392953,0.1344017583165595,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
74,0.3873471416865837,0.1343261993458391,0.04945246677422924,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
75,0.4873470215238057,0.4273795242933597,0.1021959572714328,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
76,0.2155005246866647,0.3799257060537546,0.5083565380390015,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
77,0.2495786977294296,0.1420081913555432,0.1961727948198612,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
78,0.3495235337692935,0.09427570574495259,0.07217542242432837,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
79,0.4495235081473353,0.2955594706686414,0.03060850964220327,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
